run_id,agent,env,trial,state,sharpe,mean_pnl,std_pnl,n_train_steps,n_eval_episodes,p_learning_rate,p_n_steps,p_batch_size,p_n_epochs,p_gamma,p_ent_coef,p_clip_range,p_gae_lambda
tuned_v1,PPOAgent,ABMVanillaEnv,0,COMPLETE,-0.38198,-11.5654,30.2775,30000,5,0.0001329291894316216,512,512,7,0.9708072577796045,0.00011527987128232407,0.1,0.8363649934414201
tuned_v1,PPOAgent,ABMVanillaEnv,1,COMPLETE,0.058559,0.7981,13.6297,30000,5,3.5498788321965036e-05,1024,128,5,0.9456069984217036,0.02267398652378041,0.3,0.8092900825439996
tuned_v1,PPOAgent,ABMVanillaEnv,2,COMPLETE,-0.172281,-9.0501,52.531,30000,5,0.0006647135865318024,2048,64,8,0.9440152493739602,0.00023233503515390126,0.3,0.8517559963200034
tuned_v1,PPOAgent,ABMVanillaEnv,3,COMPLETE,-0.116599,-1.8753,16.0838,30000,5,0.0009717775305059633,2048,128,10,0.9597899978811085,0.058293845429947415,0.2,0.8650660661526529
tuned_v1,PPOAgent,ABMVanillaEnv,4,COMPLETE,0.803539,13.003,16.1821,30000,5,0.00014656553886225324,1024,512,2,0.9986886936600518,0.020736445177905034,0.3,0.9413714687695235
tuned_v1,PPOAgent,ABMVanillaEnv,5,COMPLETE,-0.795288,-9.8302,12.3606,30000,5,0.0015382308040279,512,128,2,0.9310982321715663,0.0009452571391072313,0.3,0.8944429850323898
tuned_v1,PPOAgent,ABMVanillaEnv,6,COMPLETE,-0.297173,-3.1738,10.6801,30000,5,2.284455685002053e-05,1024,64,2,0.9107891426993304,0.000124247470836602,0.1,0.9815132947852186
tuned_v1,PPOAgent,ABMVanillaEnv,7,COMPLETE,-0.22303,-5.1413,23.0521,30000,5,5.59598687800608e-05,1024,512,9,0.9633403756510424,0.04115113049561091,0.3,0.9078684483831302
tuned_v1,PPOAgent,ABMVanillaEnv,8,COMPLETE,-0.191519,-0.44,2.2976,30000,5,0.0026443593078398627,512,512,2,0.9510747302577566,0.0017874463256238437,0.3,0.9885819407825038
tuned_v1,PPOAgent,ABMVanillaEnv,9,COMPLETE,0.577647,17.1855,29.7508,30000,5,9.324140221663491e-05,1024,64,4,0.9284840494377468,0.0001290211302456716,0.1,0.8557292928473224
tuned_v1,PPOAgent,ABMVanillaEnv,10,COMPLETE,1.52506,15.2989,10.0317,30000,5,0.006845570267272932,1024,256,4,0.9983877708338541,0.00886130072165195,0.2,0.9379949613316222
tuned_v1,PPOAgent,ABMVanillaEnv,11,COMPLETE,0.395753,8.9187,22.5361,30000,5,0.00693243217367381,1024,256,4,0.9958668878399473,0.00996034855815572,0.2,0.944851017653375
